Timestamp (ms),X: (degree per second),Y: (degree per second),Z: (degree per second)
54286,82.879997,39.830002,20.860001, 
54364,44.799999,26.670000,-23.799999, 
54442,20.160000,30.799999,-15.330000, 
54521,13.160000,25.480000,11.130000, 
54599,-19.180000,-21.629999,7.840000, 
56235,-8.050000,5.390000,7.350000, 
56313,33.389999,8.400000,41.230000, 
56391,-26.880001,-36.959999,18.059999, 
56470,26.740000,-29.750000,33.740002, 
56548,52.639999,-83.790001,-28.139999, 
56626,190.539993,-198.589996,-65.660004, 
56705,232.330002,-57.260002,-31.990000, 
56783,272.929993,25.059999,-21.840000, 
56862,203.350006,24.010000,-22.260000, 
56940,160.229996,11.970000,-42.630001, 
57018,149.449997,1.330000,-49.700001, 
57096,38.150002,7.140000,-5.040000, 
57174,-276.640015,11.410000,59.220001, 
57253,-375.760010,34.720001,71.470001, 
57332,-368.269989,-15.260000,45.290001, 
57410,-405.720001,-80.360001,-11.830000, 
57488,-363.860016,-84.279999,-37.590000, 
57566,-294.279999,42.840000,1.750000, 
57644,-344.329987,128.240005,-68.180000, 
57723,-263.619995,85.959999,-85.750000, 
57801,-148.539993,61.320000,-31.290001, 
57879,-58.240002,75.809998,62.020000, 
57958,60.549999,47.810001,235.479996, 
58036,189.000000,30.870001,344.820007, 
58115,270.410004,49.349998,337.049988, 
58193,223.860001,41.230000,182.559998, 
58271,358.610016,40.670002,205.169998, 
58349,251.580002,-2.800000,153.229996, 
58427,139.509995,-22.610001,97.720001, 
58506,306.950012,-135.100006,160.160004, 
58584,180.320007,-161.770004,62.720001, 
58663,104.790001,-131.809998,11.620000, 
58741,-22.190001,-100.309998,83.440002, 
58819,-116.059998,-151.899994,229.600006, 
58897,-98.489998,-148.190002,370.019989, 
58976,-113.120003,-48.509998,249.130005, 
59054,-101.570000,-13.370000,143.080002, 
59132,-83.510002,-13.930000,106.400002, 
59210,-113.120003,5.040000,63.840000, 
59289,-129.500000,14.700000,17.780001, 
59368,-167.300003,23.870001,63.070000, 
59446,-211.889999,54.040001,64.610001, 
59524,-156.940002,39.130001,13.790000, 
59602,-325.989990,-13.580000,-63.420002, 
59680,-465.429993,9.590000,-131.460007, 
59759,-32.200001,-5.250000,20.440001, 
59837,63.630001,22.889999,17.430000, 
59916,161.699997,118.160004,273.209991, 
59994,201.809998,115.430000,221.410004, 
60072,131.039993,137.339996,159.180008, 
60150,-66.290001,191.309998,159.880005, 
60229,87.989998,15.610000,135.729996, 
60307,253.680008,-44.730000,147.000000, 
60385,272.790009,23.660000,107.520004, 
60463,111.020004,31.150000,58.170002, 
60541,69.860001,24.219999,29.400000, 
60621,129.360001,7.420000,44.310001, 
60699,208.250000,35.980000,107.520004, 
60777,259.910004,9.800000,43.400002, 
60855,209.789993,-16.730000,3.990000, 
60933,60.970001,38.990002,-60.689999, 
61012,-63.139999,27.090000,-45.639999, 
61090,15.330000,173.320007,-62.160000, 
61168,-21.490000,145.949997,-134.330002, 
61247,-28.000000,208.460007,-217.490005, 
61325,-17.430000,121.800003,-299.459991, 
61403,-18.059999,41.369999,-215.389999, 
61482,-19.809999,-3.780000,-254.380005, 
61560,73.360001,-70.070000,-271.250000, 
61638,123.129997,-81.269997,-172.339996, 
61716,132.580002,-132.160004,-82.669998, 
61794,110.669998,-231.979996,-78.330002, 
61874,81.059998,-260.190002,46.689999, 
61952,82.879997,-182.559998,70.349998, 
62030,59.849998,-196.139999,64.470001, 
62108,84.139999,-134.680008,32.900002, 
62186,106.610001,-97.300003,19.740000, 
62265,131.180008,-71.330002,-4.200000, 
62343,147.770004,-69.300003,14.490000, 
62421,167.369995,25.129999,-10.080000, 
62500,109.129997,86.029999,-45.150002, 
62578,40.389999,108.220001,-67.550003, 
62656,-75.320000,37.450001,-0.700000, 
62735,-140.070007,112.419998,44.310001, 
62813,-84.209999,83.720001,25.200001, 
62891,-76.720001,44.240002,-38.920002, 
62969,-104.720001,84.980003,-83.720001, 
63047,-165.759995,196.490005,-144.619995, 
63126,-100.800003,96.669998,-170.800003, 
63205,-29.610001,4.970000,-292.670013, 
63283,53.970001,-45.430000,-228.410004, 
63361,84.980003,-69.230003,-123.270004, 
63439,58.730000,-19.670000,-75.949997, 
63518,61.529999,-44.590000,-84.000000, 
63596,48.790001,-53.970001,-82.320000, 
63674,-18.059999,54.880001,-31.150000, 
63752,-28.280001,93.169998,29.540001, 
63831,-53.410000,156.449997,200.410004, 
63909,-10.920000,212.309998,352.940002, 
63988,-1.190000,240.940002,339.220001, 
64066,19.389999,147.699997,184.100006, 
64144,34.369999,36.820000,81.410004, 
64222,43.750000,49.349998,78.260002, 
64300,20.580000,2.660000,26.460001, 
64379,19.670000,-227.290009,-91.559998, 
64458,-86.379997,-277.899994,-222.740005, 
64536,-140.000000,-246.680008,-277.480011, 
64614,-100.660004,-190.750000,-164.919998, 
64692,-50.119999,-179.339996,-77.000000, 
64771,-35.209999,-84.769997,-22.260000, 
64849,-3.990000,-34.509998,32.759998, 
64927,49.770000,-23.799999,57.959999, 
65005,49.980000,78.820000,88.620003, 
65083,52.990002,59.220001,84.699997, 
65162,29.049999,52.009998,64.330002, 
65241,35.910000,37.590000,96.180000, 
65319,7.000000,-11.830000,131.949997, 
65397,-77.699997,4.830000,167.229996, 
65475,73.779999,12.390000,222.529999, 
65553,101.430000,8.750000,227.290009, 
65632,26.460001,44.099998,165.759995, 
65710,35.630001,73.989998,164.149994, 
65789,0.350000,54.529999,172.130005, 
65867,-10.780000,-14.770000,140.139999, 
65945,-17.990000,21.910000,154.770004, 
66024,-48.160000,10.500000,108.220001, 
66102,-70.070000,10.640000,76.720001, 
66180,-22.540001,-1.610000,23.379999, 
66258,11.550000,4.690000,-106.750000, 
66336,10.780000,28.070000,-240.169998, 
66415,-28.000000,52.080002,-334.880005, 
66494,-10.080000,22.820000,-289.450012, 
66572,25.760000,13.230000,-214.410004, 
66650,6.090000,14.490000,-224.630005, 
66728,17.850000,62.720001,-263.619995, 
66806,63.279999,25.059999,-414.119995, 
66885,75.459999,-11.970000,-373.170013, 
66963,6.860000,-8.680000,-175.770004, 
67041,-18.480000,-17.219999,-86.590004, 
67120,-34.439999,6.510000,-122.220001, 
67198,9.520000,-10.430000,-90.090004, 
67277,40.810001,-32.549999,-4.550000, 
67355,22.750000,-17.990000,24.360001, 
67433,3.010000,1.750000,231.559998, 
67511,-0.210000,30.590000,482.720001, 
67589,86.099998,-39.200001,217.419998, 
67667,-62.160000,-24.150000,-10.430000, 
67747,-10.430000,36.470001,-41.299999, 
67825,-20.230000,90.300003,68.669998, 
67903,237.509995,120.470001,8.890000, 
67981,131.180008,17.150000,-26.670000, 
68059,429.519989,106.959999,-115.290001, 
68138,40.599998,-60.200001,-103.459999, 
68216,-135.169998,-117.320000,-95.760002, 
68294,-146.509995,-96.529999,-102.620003, 
68373,-155.680008,-76.090004,-108.290001, 
68451,1680.839966,587.789978,-92.400002, 
68530,750.609985,99.959999,-105.489998, 
68608,55.299999,113.680000,-64.120003, 
68686,-66.779999,301.489990,12.250000, 
68764,-56.209999,172.830002,128.729996, 
68842,-211.539993,148.539993,151.830002, 
68920,-98.070000,-11.760000,61.529999, 
69000,-24.920000,-13.440001,4.480000, 
69078,138.529999,-47.180000,-106.330002, 
69156,97.370003,273.910004,-119.000000, 
69234,95.480003,374.290009,-121.940002, 
69312,140.000000,349.299988,-141.190002, 
69391,191.449997,318.709991,-167.020004, 
69469,248.430008,282.940002,-198.869995, 
69547,292.040009,245.839996,-234.570007, 
69625,309.959991,174.300003,-266.700012, 
69704,93.870003,15.330000,-22.260000, 
69783,-28.770000,-15.960000,10.990000, 
69861,98.419998,-156.800003,-41.930000, 
69939,28.000000,-65.449997,-5.950000, 
70017,-49.349998,25.129999,9.240000, 
70095,-46.830002,23.379999,-4.200000, 
70174,-0.070000,-13.650000,-12.460000, 
70252,31.920000,-23.100000,-1.610000, 
70331,18.620001,-2.800000,-10.500000, 
70409,1.610000,-3.010000,-8.120000, 
70487,-5.670000,-9.170000,-1.050000, 
70565,-9.730000,-4.900000,-2.590000, 
70644,1.820000,-6.370000,9.870000, 
70722,-0.420000,9.030000,4.830000, 
70800,-8.050000,11.480000,4.480000, 
70878,-2.240000,8.610000,11.550000, 
70957,16.240000,-22.540001,11.550000, 
71036,11.830000,-14.350000,-7.000000, 
71114,1.960000,7.000000,-0.280000, 
71192,-29.120001,36.400002,5.740000, 
71270,-119.699997,159.320007,32.970001, 
71348,-136.779999,278.459991,-3.290000, 
71427,-130.899994,302.890015,-3.780000, 
71505,-129.850006,300.929993,15.190001, 
71583,-134.820007,297.220001,33.670002, 
71662,-155.539993,295.750000,53.060001, 
71740,-73.779999,115.150002,26.809999, 
71818,-35.770000,60.970001,0.420000, 
