Service,X,Y,Z
LinearAcc,0.595834,-0.404401,9.858782, 
LinearAcc,0.531226,-0.461831,9.844424, 
LinearAcc,0.564726,-0.335007,9.839638, 
LinearAcc,0.533619,-0.392437,9.856388, 
LinearAcc,0.634121,-0.308685,9.858782, 
LinearAcc,0.619763,-0.478582,9.870746, 
LinearAcc,0.605406,-0.289542,9.861175, 
LinearAcc,0.624549,-0.093323,9.966462, 
AngularVelocity,8.330000,0.770000,0.630000, 
LinearAcc,0.670014,0.078966,9.937747, 
AngularVelocity,9.170000,2.590000,0.210000, 
LinearAcc,0.502511,0.323043,9.839638, 
AngularVelocity,10.220000,3.430000,-0.350000, 
LinearAcc,0.856661,0.875804,10.198574, 
AngularVelocity,10.360000,4.480000,-2.520000, 
LinearAcc,0.746587,0.765731,10.169859, 
AngularVelocity,7.140000,13.860000,-4.830000, 
LinearAcc,0.607799,1.220383,10.253612, 
AngularVelocity,-2.030000,27.790001,-5.810000, 
LinearAcc,0.358936,2.156010,10.626904, 
AngularVelocity,-14.490000,43.259998,-11.900000, 
LinearAcc,-0.272792,2.354622,9.916211, 
AngularVelocity,-16.240000,59.080002,-41.930000, 
LinearAcc,-1.227562,1.440531,8.518753, 
AngularVelocity,-51.310001,61.810001,-74.830002, 
LinearAcc,-2.175153,-0.490546,8.054528, 
AngularVelocity,-74.340004,53.549999,-106.400002, 
LinearAcc,-1.639142,-2.974385,7.525696, 
AngularVelocity,-72.449997,45.990002,-120.330002, 
LinearAcc,-1.179704,-4.912640,8.085636, 
AngularVelocity,-30.030001,32.689999,-127.190002, 
LinearAcc,-1.466853,-6.602034,7.906168, 
AngularVelocity,-10.780000,13.160000,-109.480003, 
LinearAcc,-1.107916,-8.968619,8.470895, 
AngularVelocity,-26.320000,11.200000,-74.970001, 
LinearAcc,-1.679821,-8.387143,7.406051, 
AngularVelocity,-1.890000,10.990000,-24.010000, 
LinearAcc,-1.402244,-3.773616,7.231368, 
AngularVelocity,-137.830002,25.690001,8.960000, 
LinearAcc,-1.799467,-9.143302,7.456302, 
AngularVelocity,-208.809998,87.500000,12.390000, 
LinearAcc,-4.498667,-11.828145,1.340029, 
AngularVelocity,-340.059998,146.300003,29.540001, 
LinearAcc,-3.304606,-10.122002,-3.718579, 
AngularVelocity,-296.799988,97.860001,72.590004, 
LinearAcc,-3.826260,-7.339049,-6.683393, 
AngularVelocity,-162.539993,-15.610000,121.660004, 
LinearAcc,-4.472345,-5.778873,-5.245255, 
AngularVelocity,-90.580002,-61.670002,152.669998, 
LinearAcc,-5.515653,-2.043544,-5.900911, 
AngularVelocity,-44.869999,-67.620003,165.479996, 
LinearAcc,-6.609212,0.789660,-6.874825, 
AngularVelocity,33.389999,-97.019997,158.270004, 
LinearAcc,-7.300763,1.962185,-4.623098, 
AngularVelocity,25.340000,-114.870003,142.660004, 
LinearAcc,-6.992077,2.969599,-1.380708, 
AngularVelocity,-3.710000,-109.690002,116.690002, 
LinearAcc,-7.056686,3.342893,0.710694, 
AngularVelocity,-19.809999,-97.230003,96.949997, 
LinearAcc,-6.420172,5.087323,0.765731, 
AngularVelocity,-48.580002,-93.309998,71.959999, 
LinearAcc,-7.470659,2.826025,2.538876, 
AngularVelocity,-74.340004,-102.690002,53.970001, 
LinearAcc,-5.664013,3.627649,4.223483, 
AngularVelocity,-79.449997,-113.820000,72.660004, 
LinearAcc,-2.392908,5.063394,6.343599, 
AngularVelocity,-125.440002,-131.880005,70.419998, 
LinearAcc,-0.961949,5.570690,9.164838, 
AngularVelocity,-113.050003,-141.190002,35.349998, 
LinearAcc,-0.043072,5.173467,11.395028, 
AngularVelocity,-57.820000,-124.459999,10.360000, 
LinearAcc,3.247176,4.254591,12.689591, 
AngularVelocity,-9.450000,-59.360001,6.440000, 
LinearAcc,-0.804017,2.744666,9.102622, 
AngularVelocity,-11.690000,-5.950000,-6.580000, 
LinearAcc,-0.177075,3.799938,9.954497, 
AngularVelocity,-6.230000,0.910000,-18.480000, 
LinearAcc,0.693943,4.323985,9.662563, 
AngularVelocity,21.840000,-11.130000,-50.820000, 
LinearAcc,1.474031,4.146910,9.298841, 
AngularVelocity,69.580002,-1.750000,-95.690002, 
LinearAcc,0.143574,3.405108,6.855682, 
AngularVelocity,34.090000,18.480000,-129.080002, 
LinearAcc,-0.574298,2.778166,7.559196, 
AngularVelocity,30.170000,-4.060000,-120.260002, 
LinearAcc,-0.497725,1.402244,8.066493, 
AngularVelocity,24.570000,-3.710000,-110.669998, 
LinearAcc,-1.667857,1.442924,8.633613, 
AngularVelocity,25.410000,-10.010000,-90.160004, 
LinearAcc,-3.771223,1.067237,10.940375, 
AngularVelocity,8.260000,-10.080000,-82.320000, 
LinearAcc,-4.402951,0.358936,10.200967, 
AngularVelocity,-26.740000,-38.639999,-88.269997, 
LinearAcc,-0.428331,-1.136631,5.319435, 
AngularVelocity,-59.570000,-42.139999,-73.570000, 
LinearAcc,-1.995685,1.275420,8.784366, 
AngularVelocity,12.180000,-65.519997,-43.119999, 
LinearAcc,-2.100973,0.062216,11.940612, 
AngularVelocity,-7.000000,-26.320000,-17.290001, 
LinearAcc,-1.354386,1.538640,9.337128, 
AngularVelocity,-4.760000,-6.650000,1.610000, 
LinearAcc,-1.005021,2.261298,9.308413, 
AngularVelocity,6.650000,-8.400000,4.690000, 
LinearAcc,-1.182097,1.634356,9.722385, 
AngularVelocity,4.060000,-5.390000,1.260000, 
LinearAcc,-1.100738,1.493175,9.877925, 
AngularVelocity,3.360000,-4.970000,-0.140000, 
LinearAcc,-1.072023,1.474031,9.542917, 
AngularVelocity,-1.050000,-1.120000,-3.430000, 
LinearAcc,-1.215597,1.703751,9.430450, 
AngularVelocity,3.780000,-4.410000,-5.390000, 
LinearAcc,-0.897341,2.215833,9.349092, 
AngularVelocity,21.700001,-10.430000,-3.570000, 
LinearAcc,-0.837518,1.454888,9.918604, 
AngularVelocity,10.990000,-7.070000,-2.100000, 
LinearAcc,-0.717872,1.907148,9.775029, 
AngularVelocity,-4.690000,-4.970000,0.630000, 
LinearAcc,-0.737016,2.285227,9.459166, 
AngularVelocity,-3.570000,-5.110000,-1.400000, 
LinearAcc,-0.653264,1.806646,9.698457, 
AngularVelocity,0.630000,-3.640000,-2.520000, 
LinearAcc,-0.579084,1.856897,9.660170, 
AngularVelocity,2.030000,-2.870000,-1.820000, 
LinearAcc,-0.586262,1.789895,9.837245, 
AngularVelocity,1.750000,-2.310000,-0.070000, 
LinearAcc,-0.552762,2.091402,9.698457, 
AngularVelocity,-1.680000,-3.920000,-0.140000, 
LinearAcc,-0.428331,1.959792,9.772636, 
AngularVelocity,-3.920000,-1.960000,-0.910000, 
LinearAcc,-0.387651,1.909541,9.552489, 
AngularVelocity,-0.910000,-1.190000,-1.540000, 
LinearAcc,-0.402009,1.911934,9.645813, 
AngularVelocity,-1.540000,-0.700000,-0.980000, 
LinearAcc,-0.430723,1.864075,9.719993, 
AngularVelocity,0.490000,-0.280000,-0.420000, 
LinearAcc,-0.346972,1.971756,9.650599, 
AngularVelocity,0.000000,-0.420000,0.000000, 
LinearAcc,-0.358936,2.065080,9.717600, 
AngularVelocity,0.140000,0.280000,-0.770000, 
LinearAcc,-0.404401,1.842539,9.660170, 
AngularVelocity,-1.540000,-0.140000,0.140000, 
LinearAcc,-0.279970,1.890397,9.746315, 
AngularVelocity,-1.890000,0.070000,0.630000, 
LinearAcc,-0.325435,1.885612,9.590775, 
AngularVelocity,-0.770000,0.140000,-0.070000, 
LinearAcc,-0.337400,2.014829,9.662563, 
AngularVelocity,2.520000,-0.210000,-0.070000, 
LinearAcc,-0.277577,1.813824,9.815709, 
AngularVelocity,2.170000,-0.490000,0.140000, 
LinearAcc,-0.193826,1.923898,9.712814, 
AngularVelocity,0.210000,0.000000,0.140000, 
LinearAcc,-0.308685,1.797074,9.705635, 
AngularVelocity,-0.980000,1.190000,-0.560000, 
LinearAcc,-0.294328,1.825789,9.734350, 
AngularVelocity,-1.540000,0.630000,-0.490000, 
LinearAcc,-0.153146,1.899969,9.717600, 
AngularVelocity,-0.840000,0.000000,0.280000, 
AngularVelocity,-0.840000,0.910000,0.350000, 
AngularVelocity,-0.210000,0.700000,0.280000, 
AngularVelocity,0.070000,0.700000,0.490000, 
AngularVelocity,-1.400000,0.490000,0.420000, 
AngularVelocity,-0.210000,0.700000,0.210000, 
AngularVelocity,-0.980000,0.700000,0.630000, 
AngularVelocity,-1.540000,0.280000,0.350000, 
AngularVelocity,-0.770000,0.630000,0.000000, 
AngularVelocity,0.210000,0.700000,0.210000, 
