Service,X,Y,Z
LinearAcc,0.634121,-0.519261,9.827674, 
LinearAcc,0.660443,-0.093323,9.928176, 
LinearAcc,0.674800,-0.464224,9.827674, 
LinearAcc,0.701122,-0.179468,9.775029, 
LinearAcc,0.729837,-0.035894,9.846817, 
LinearAcc,0.646085,-0.105288,9.930569, 
LinearAcc,0.727444,-0.141182,9.775029, 
LinearAcc,0.603013,-0.387651,9.935354, 
LinearAcc,0.670014,0.263220,9.987998, 
AngularVelocity,11.340000,0.420000,-0.840000, 
LinearAcc,0.610192,-0.033501,9.928176, 
AngularVelocity,8.750000,0.280000,-0.630000, 
LinearAcc,0.437902,0.354150,9.932961, 
AngularVelocity,3.290000,0.980000,0.210000, 
LinearAcc,0.512082,0.619763,9.880318, 
AngularVelocity,6.580000,0.910000,0.210000, 
LinearAcc,0.588655,0.165111,9.755886, 
AngularVelocity,9.520000,0.910000,0.210000, 
LinearAcc,0.655657,0.569512,9.834852, 
AngularVelocity,-1.120000,1.680000,-0.280000, 
LinearAcc,0.614977,0.480975,9.937747, 
AngularVelocity,-1.890000,2.240000,-0.350000, 
LinearAcc,0.526440,0.473796,9.923389, 
AngularVelocity,-2.380000,1.400000,-0.070000, 
LinearAcc,0.614977,0.177075,9.877925, 
AngularVelocity,-0.560000,1.050000,0.490000, 
LinearAcc,0.495332,0.057430,9.899461, 
AngularVelocity,-3.220000,1.820000,0.140000, 
LinearAcc,0.497725,0.181861,9.765458, 
AngularVelocity,-3.850000,1.540000,0.350000, 
LinearAcc,0.516868,0.220148,9.913818, 
AngularVelocity,-3.850000,1.610000,0.350000, 
LinearAcc,0.559941,0.119645,9.846817, 
AngularVelocity,-1.470000,0.420000,0.770000, 
LinearAcc,0.490546,0.081359,9.894675, 
AngularVelocity,-2.170000,0.070000,0.420000, 
LinearAcc,0.564726,-0.057430,9.865960, 
AngularVelocity,-4.410000,0.630000,0.210000, 
LinearAcc,0.512082,0.112467,9.973641, 
AngularVelocity,-3.990000,1.050000,0.350000, 
LinearAcc,0.581477,-0.071787,9.880318, 
AngularVelocity,-3.780000,1.540000,0.420000, 
LinearAcc,0.555155,-0.117252,9.909033, 
AngularVelocity,-4.480000,1.470000,0.630000, 
LinearAcc,0.524047,-0.069394,9.870746, 
AngularVelocity,-1.260000,0.840000,0.700000, 
LinearAcc,0.571905,-0.193826,9.803744, 
AngularVelocity,-1.960000,0.770000,0.910000, 
LinearAcc,0.593441,-0.040679,9.858782, 
AngularVelocity,-1.890000,0.420000,0.910000, 
LinearAcc,0.521654,-0.179468,9.918604, 
AngularVelocity,-1.820000,0.210000,0.980000, 
LinearAcc,0.586262,-0.086145,9.889889, 
AngularVelocity,-1.680000,0.560000,0.770000, 
LinearAcc,0.559941,-0.210576,9.820495, 
AngularVelocity,-0.210000,0.630000,0.420000, 
LinearAcc,0.607799,-0.114860,9.767851, 
AngularVelocity,-0.420000,0.140000,0.560000, 
LinearAcc,0.574298,-0.129217,9.863567, 
AngularVelocity,-0.140000,0.560000,0.280000, 
LinearAcc,0.610192,-0.090931,9.906639, 
AngularVelocity,-1.260000,0.770000,0.210000, 
LinearAcc,0.562333,-0.057430,9.861175, 
AngularVelocity,0.280000,0.420000,0.630000, 
LinearAcc,0.557548,-0.189040,9.820495, 
AngularVelocity,1.120000,0.490000,0.770000, 
LinearAcc,0.526440,-0.382865,9.999963, 
AngularVelocity,0.210000,0.490000,0.560000, 
LinearAcc,0.524047,-0.179468,9.985605, 
AngularVelocity,-0.770000,0.490000,0.280000, 
LinearAcc,0.555155,-0.244077,10.050214, 
AngularVelocity,-0.490000,-0.280000,0.070000, 
LinearAcc,0.691550,0.409187,9.887496, 
AngularVelocity,-5.600000,-3.150000,2.310000, 
LinearAcc,0.701122,0.205790,10.339756, 
AngularVelocity,-14.630000,-6.510000,4.410000, 
LinearAcc,1.387887,-1.050487,11.540996, 
AngularVelocity,-2.240000,16.240000,-0.210000, 
LinearAcc,0.323043,-0.016750,10.863803, 
AngularVelocity,-10.920000,44.099998,7.280000, 
LinearAcc,-0.339793,-0.770516,10.653227, 
AngularVelocity,8.260000,61.250000,6.230000, 
LinearAcc,-1.340029,-0.318257,10.614941, 
AngularVelocity,-5.600000,72.870003,9.380000, 
LinearAcc,-1.612820,-0.313471,10.138752, 
AngularVelocity,-10.990000,85.470001,15.190001, 
LinearAcc,-2.447945,-0.610192,10.083714, 
AngularVelocity,4.130000,102.830002,23.030001, 
LinearAcc,-3.589362,-1.459674,9.408915, 
AngularVelocity,-5.670000,127.470001,40.250000, 
LinearAcc,-5.159110,0.346972,6.470424, 
AngularVelocity,-13.160000,150.500000,48.720001, 
LinearAcc,-7.090187,1.481210,3.910012, 
AngularVelocity,-1.960000,143.639999,42.980000, 
LinearAcc,-8.035385,1.074416,3.053351, 
AngularVelocity,14.560000,126.699997,30.660000, 
LinearAcc,-8.755651,1.591284,0.897341, 
AngularVelocity,18.410000,119.070000,19.320000, 
LinearAcc,-9.645813,1.569748,-0.703515, 
AngularVelocity,16.870001,106.470001,14.000000, 
LinearAcc,-9.480701,1.651107,-1.909541, 
AngularVelocity,13.720000,83.930000,13.440001, 
LinearAcc,-9.741529,2.794917,-4.907855, 
AngularVelocity,2.590000,59.570000,11.620000, 
LinearAcc,-9.772636,3.089244,-5.096894, 
AngularVelocity,-8.540000,2.590000,-6.090000, 
LinearAcc,-9.633848,2.531697,-3.864547, 
AngularVelocity,-14.280000,-48.090000,-26.389999, 
LinearAcc,-9.234232,1.619999,-2.601091, 
AngularVelocity,-27.090000,-82.389999,-36.259998, 
LinearAcc,-8.920761,0.263220,0.088538, 
AngularVelocity,-23.660000,-112.489998,-45.990002, 
LinearAcc,-7.908561,-0.564726,2.144046, 
AngularVelocity,-16.799999,-121.590004,-37.869999, 
LinearAcc,-7.094973,-0.827946,4.393379, 
AngularVelocity,-19.180000,-122.220001,-33.529999, 
LinearAcc,-6.635534,-0.409187,6.477602, 
AngularVelocity,-15.820000,-119.770004,-34.090000, 
LinearAcc,-5.230897,-0.880590,7.626198, 
AngularVelocity,-13.860000,-112.489998,-34.860001, 
LinearAcc,-4.429273,-2.378551,8.109566, 
AngularVelocity,-7.770000,-107.730003,-37.450001, 
LinearAcc,-3.005492,-2.433588,8.667113, 
AngularVelocity,-12.950000,-105.209999,-35.420002, 
LinearAcc,-1.261063,-1.249098,8.523539, 
AngularVelocity,-5.460000,-97.580002,-39.340000, 
LinearAcc,-0.361329,-1.825789,11.272990, 
AngularVelocity,32.619999,-81.480003,-25.410000, 
LinearAcc,-0.966735,-1.380708,12.234939, 
AngularVelocity,-6.930000,-35.490002,-27.580000, 
LinearAcc,-0.490546,-6.798252,10.681942, 
AngularVelocity,-29.750000,-22.330000,-26.250000, 
LinearAcc,0.851875,-6.171310,10.949947, 
AngularVelocity,1.540000,-1.750000,-8.540000, 
LinearAcc,-0.090931,-3.687471,9.473523, 
AngularVelocity,25.760000,-2.870000,-6.440000, 
LinearAcc,0.050251,-2.189511,9.777423, 
AngularVelocity,28.350000,-1.050000,-5.180000, 
LinearAcc,-0.040679,-1.751609,9.863567, 
AngularVelocity,4.830000,2.590000,-1.120000, 
LinearAcc,-0.050251,-2.948063,9.552489, 
AngularVelocity,-1.680000,0.840000,-0.140000, 
LinearAcc,0.220148,-2.148831,9.777423, 
AngularVelocity,10.500000,-1.190000,0.770000, 
LinearAcc,0.062216,-2.050722,9.842031, 
AngularVelocity,-7.420000,1.470000,-1.330000, 
LinearAcc,0.102895,-2.567590,9.619491, 
AngularVelocity,-3.780000,-1.050000,-2.100000, 
LinearAcc,0.059823,-1.739644,9.514202, 
AngularVelocity,5.250000,-5.040000,-1.400000, 
LinearAcc,0.344579,-1.739644,9.585990, 
AngularVelocity,5.460000,-2.590000,0.140000, 
LinearAcc,0.191433,-2.232583,9.538132, 
AngularVelocity,1.750000,-0.840000,0.910000, 
LinearAcc,0.193826,-1.720501,9.672134, 
AngularVelocity,4.830000,-1.540000,1.120000, 
LinearAcc,0.148360,-1.854504,9.806137, 
