Service,X,Y,Z
LinearAcc,1.064844,-0.354150,9.775029, 
LinearAcc,1.000236,-0.524047,9.839638, 
LinearAcc,1.007414,-0.282363,9.916211, 
LinearAcc,1.160560,-0.497725,9.856388, 
LinearAcc,1.014593,-0.452260,9.978427, 
LinearAcc,1.081594,-0.581477,10.208146, 
LinearAcc,1.088773,0.272792,9.942533, 
LinearAcc,1.026558,0.445081,9.990392, 
LinearAcc,1.091166,0.380472,9.786994, 
LinearAcc,0.997843,0.248862,9.839638, 
LinearAcc,1.072023,0.449867,9.920997, 
LinearAcc,1.072023,0.433116,9.875532, 
LinearAcc,0.964342,0.272792,9.820495, 
AngularVelocity,-1.050000,0.980000,0.070000, 
LinearAcc,1.153382,0.251255,9.844424, 
AngularVelocity,0.560000,0.350000,0.350000, 
LinearAcc,1.124667,0.141182,9.820495, 
AngularVelocity,0.000000,0.490000,0.210000, 
LinearAcc,1.069630,0.227326,9.937747, 
AngularVelocity,-0.490000,1.050000,0.140000, 
LinearAcc,1.162953,0.248862,9.897068, 
AngularVelocity,-1.330000,0.770000,0.070000, 
LinearAcc,1.150989,0.404401,9.861175, 
AngularVelocity,-1.120000,0.840000,0.140000, 
LinearAcc,1.127060,0.275184,9.873138, 
AngularVelocity,-0.070000,0.770000,0.280000, 
LinearAcc,1.103131,0.299114,9.870746, 
AngularVelocity,-0.070000,0.560000,0.280000, 
LinearAcc,1.060058,0.172289,9.942533, 
AngularVelocity,-1.120000,0.700000,0.840000, 
LinearAcc,1.167739,0.564726,9.631455, 
AngularVelocity,0.910000,0.280000,1.680000, 
LinearAcc,1.045701,0.067001,9.825280, 
AngularVelocity,1.050000,0.490000,0.490000, 
LinearAcc,1.060058,0.272792,9.911426, 
AngularVelocity,-3.150000,-0.140000,-0.140000, 
LinearAcc,1.165346,0.504904,9.822887, 
AngularVelocity,-3.780000,0.350000,0.210000, 
LinearAcc,1.179704,0.466617,9.743921, 
AngularVelocity,-0.560000,0.980000,0.070000, 
LinearAcc,1.086380,0.413973,9.731957, 
AngularVelocity,0.140000,1.190000,0.210000, 
LinearAcc,1.048094,0.174682,9.746315, 
AngularVelocity,0.350000,1.120000,0.000000, 
LinearAcc,1.148596,0.308685,9.870746, 
AngularVelocity,-0.910000,0.490000,0.280000, 
LinearAcc,1.103131,0.124431,9.856388, 
AngularVelocity,0.210000,0.980000,0.420000, 
LinearAcc,1.119881,0.423545,9.679314, 
AngularVelocity,-1.330000,0.280000,0.420000, 
LinearAcc,0.847089,0.234505,9.837245, 
AngularVelocity,2.520000,0.350000,1.400000, 
LinearAcc,1.165346,0.260827,9.863567, 
AngularVelocity,4.410000,0.910000,0.630000, 
LinearAcc,1.153382,0.409187,9.980820, 
AngularVelocity,-0.350000,0.840000,-0.350000, 
LinearAcc,1.361565,0.440295,9.846817, 
AngularVelocity,-3.010000,0.630000,-0.630000, 
LinearAcc,1.174918,0.421152,9.794173, 
AngularVelocity,-2.030000,1.820000,-0.980000, 
LinearAcc,1.139024,0.469010,9.727171, 
AngularVelocity,-0.910000,1.470000,-0.840000, 
LinearAcc,1.189275,0.361329,9.765458, 
AngularVelocity,-1.470000,1.750000,-0.420000, 
LinearAcc,1.115095,0.291935,9.856388, 
AngularVelocity,0.280000,1.610000,0.000000, 
LinearAcc,1.007414,0.375687,9.952105, 
AngularVelocity,-1.610000,1.260000,-0.070000, 
LinearAcc,1.208419,0.246470,10.167466, 
AngularVelocity,2.450000,1.260000,1.050000, 
LinearAcc,1.557783,0.768124,10.837481, 
AngularVelocity,3.360000,8.400000,0.980000, 
LinearAcc,1.292170,0.090931,10.918839, 
AngularVelocity,4.900000,25.969999,3.990000, 
LinearAcc,0.531226,1.081594,10.789622, 
AngularVelocity,18.900000,44.799999,3.430000, 
LinearAcc,0.179468,1.363958,11.067200, 
AngularVelocity,14.070000,66.779999,-2.100000, 
LinearAcc,-0.526440,0.291935,10.818337, 
AngularVelocity,-0.140000,92.820000,-4.550000, 
LinearAcc,-1.354386,-0.009572,10.655620, 
AngularVelocity,8.610000,122.010002,-1.540000, 
LinearAcc,-3.591755,0.799231,7.956419, 
AngularVelocity,-0.420000,141.470001,1.890000, 
LinearAcc,-5.259612,1.213204,6.097130, 
AngularVelocity,-2.240000,134.610001,3.640000, 
LinearAcc,-6.714500,1.141417,5.077751, 
AngularVelocity,3.220000,113.050003,3.710000, 
LinearAcc,-7.942062,1.129453,4.869568, 
AngularVelocity,7.140000,95.410004,1.610000, 
LinearAcc,-8.164602,0.691550,4.175625, 
AngularVelocity,9.450000,98.980003,4.760000, 
LinearAcc,-9.258162,0.978699,1.921505, 
AngularVelocity,4.410000,100.660004,12.950000, 
LinearAcc,-9.105016,1.579319,0.823160, 
AngularVelocity,1.190000,92.330002,15.190001, 
LinearAcc,-10.114822,2.828417,-2.519732, 
AngularVelocity,-8.260000,80.010002,17.010000, 
LinearAcc,-9.918604,3.024636,-3.412287, 
AngularVelocity,-7.910000,27.510000,2.380000, 
LinearAcc,-9.935354,2.462302,-2.110545, 
AngularVelocity,-6.300000,-22.330000,-11.270000, 
LinearAcc,-9.825280,1.629570,-1.462067, 
AngularVelocity,-9.660000,-52.430000,-15.470000, 
LinearAcc,-9.133730,2.256512,0.057430, 
AngularVelocity,-17.219999,-78.120003,-15.820000, 
LinearAcc,-8.736507,1.150989,1.828182, 
AngularVelocity,-24.710001,-92.750000,-15.960000, 
LinearAcc,-8.001884,0.461831,3.883690, 
AngularVelocity,-27.090000,-103.110001,-15.540000, 
LinearAcc,-7.360585,0.205790,5.305077, 
AngularVelocity,-22.260000,-100.590004,-11.830000, 
LinearAcc,-6.712107,0.478582,6.448887, 
AngularVelocity,-13.230000,-97.650002,-14.000000, 
LinearAcc,-5.841089,0.777695,6.917897, 
AngularVelocity,-12.460000,-98.489998,-14.980000, 
LinearAcc,-4.462774,0.416366,8.834617, 
AngularVelocity,-0.910000,-95.900002,-15.820000, 
LinearAcc,-3.201711,-0.354150,9.363449, 
AngularVelocity,2.590000,-84.559998,-11.130000, 
LinearAcc,-2.749451,-0.117252,8.999727, 
AngularVelocity,4.550000,-76.300003,-12.460000, 
LinearAcc,-1.507532,0.227326,9.806137, 
AngularVelocity,0.700000,-74.900002,-14.770000, 
LinearAcc,-0.794446,1.385494,10.488116, 
AngularVelocity,-5.950000,-63.560001,-10.710000, 
LinearAcc,0.117252,-0.540797,12.122473, 
AngularVelocity,-6.790000,-52.779999,-10.360000, 
LinearAcc,-0.102895,-0.145967,10.344542, 
AngularVelocity,2.240000,-20.860001,-2.030000, 
LinearAcc,0.095716,0.174682,9.911426, 
AngularVelocity,2.380000,-20.510000,-1.120000, 
LinearAcc,0.892555,-0.421152,10.172253, 
AngularVelocity,-7.210000,-23.660000,-0.910000, 
LinearAcc,1.016986,0.023929,9.920997, 
AngularVelocity,1.330000,-7.770000,1.050000, 
LinearAcc,0.636514,-0.430723,9.925783, 
AngularVelocity,-4.900000,-0.770000,-1.050000, 
LinearAcc,0.737016,-0.043072,9.976034, 
