Service,X,Y,Z
LinearAcc,0.799231,0.086145,9.830067, 
LinearAcc,0.823160,0.038287,9.818102, 
LinearAcc,0.787267,0.047858,9.865960, 
LinearAcc,0.720265,0.062216,9.880318, 
LinearAcc,0.813589,-0.038287,9.904246, 
LinearAcc,0.751373,-0.023929,9.870746, 
LinearAcc,0.768124,-0.102895,9.937747, 
AngularVelocity,-0.210000,0.420000,0.420000, 
LinearAcc,0.818375,0.112467,9.889889, 
AngularVelocity,0.490000,0.000000,0.560000, 
LinearAcc,0.899733,0.122038,9.751101, 
AngularVelocity,-1.960000,1.120000,0.280000, 
LinearAcc,0.696336,-0.244077,9.880318, 
AngularVelocity,-1.120000,1.190000,0.140000, 
LinearAcc,0.760945,-0.067001,10.004748, 
AngularVelocity,-1.120000,0.490000,-0.140000, 
LinearAcc,0.782481,-0.011965,9.966462, 
AngularVelocity,0.210000,0.070000,0.070000, 
LinearAcc,0.744194,-0.033501,10.054999, 
AngularVelocity,0.350000,0.280000,0.420000, 
LinearAcc,0.806410,-0.076573,10.232075, 
AngularVelocity,-0.770000,0.210000,0.910000, 
LinearAcc,0.777695,0.078966,10.399578, 
AngularVelocity,-7.560000,0.490000,1.890000, 
LinearAcc,1.241919,-0.177075,10.636477, 
AngularVelocity,-7.420000,8.540000,1.960000, 
LinearAcc,0.705908,0.090931,10.969090, 
AngularVelocity,-6.370000,26.460001,3.920000, 
LinearAcc,0.631728,-0.871019,11.591247, 
AngularVelocity,6.440000,42.910000,3.850000, 
LinearAcc,0.043072,-0.933234,10.780051, 
AngularVelocity,9.100000,69.580002,7.420000, 
LinearAcc,-1.143810,-0.780088,10.720228, 
AngularVelocity,12.530000,90.090004,12.670000, 
LinearAcc,-1.873647,-0.320650,10.148323, 
AngularVelocity,24.780001,113.260002,19.670000, 
LinearAcc,-3.139495,0.528833,8.904011, 
AngularVelocity,14.630000,139.720001,25.340000, 
LinearAcc,-4.812138,1.148596,6.197632, 
AngularVelocity,-4.340000,154.630005,33.880001, 
LinearAcc,-6.750394,1.478817,4.352700, 
AngularVelocity,6.020000,145.669998,31.990000, 
LinearAcc,-7.896597,1.715715,3.228033, 
AngularVelocity,1.260000,126.699997,25.340000, 
LinearAcc,-8.585754,1.466853,1.720501, 
AngularVelocity,4.970000,115.709999,22.120001, 
LinearAcc,-8.624041,1.301742,0.770516, 
AngularVelocity,9.450000,109.270004,28.000000, 
LinearAcc,-9.260554,2.699200,-1.349600, 
AngularVelocity,10.500000,101.989998,27.299999, 
LinearAcc,-9.504631,3.933941,-4.611134, 
AngularVelocity,0.980000,69.440002,14.280000, 
LinearAcc,-9.641026,3.472110,-4.209126, 
AngularVelocity,-5.040000,2.800000,-8.540000, 
LinearAcc,-9.605133,2.622627,-2.419230, 
AngularVelocity,-5.880000,-39.060001,-22.960001, 
LinearAcc,-9.246197,2.340264,-2.452731, 
AngularVelocity,-14.000000,-62.510002,-24.080000, 
LinearAcc,-9.097836,2.120116,-0.626942, 
AngularVelocity,-30.590000,-84.629997,-30.730000, 
LinearAcc,-8.583362,2.029186,0.684372, 
AngularVelocity,-32.200001,-98.419998,-40.250000, 
LinearAcc,-7.810452,0.193826,1.756395, 
AngularVelocity,-23.660000,-116.970001,-46.200001, 
LinearAcc,-6.214382,-0.447474,5.128002, 
AngularVelocity,-16.379999,-135.940002,-39.130001, 
LinearAcc,-5.778873,-0.691550,7.116508, 
AngularVelocity,-2.940000,-133.419998,-33.950001, 
LinearAcc,-4.182803,-0.662836,8.521146, 
AngularVelocity,13.370000,-128.449997,-31.500000, 
LinearAcc,-2.715951,-1.576926,10.083714, 
AngularVelocity,34.650002,-120.330002,-35.279999, 
LinearAcc,-1.500353,-0.603013,10.847053, 
AngularVelocity,39.130001,-111.090004,-20.650000, 
LinearAcc,-0.756159,0.296721,9.710421, 
AngularVelocity,7.420000,-91.699997,-12.740000, 
LinearAcc,1.191668,0.988271,14.357449, 
AngularVelocity,-15.610000,-93.169998,-23.170000, 
LinearAcc,0.938020,0.442688,11.598426, 
AngularVelocity,35.910000,-19.250000,-13.020000, 
LinearAcc,0.717872,-1.596070,12.079400, 
AngularVelocity,34.930000,-16.379999,-2.240000, 
LinearAcc,0.612584,0.303899,9.971248, 
AngularVelocity,-1.820000,-5.670000,-0.630000, 
LinearAcc,0.741802,0.107681,10.019106, 
AngularVelocity,-8.400000,1.960000,2.800000, 
LinearAcc,0.600620,-0.016750,10.023892, 
AngularVelocity,-12.390000,4.620000,0.420000, 
LinearAcc,0.445081,-0.009572,9.971248, 
AngularVelocity,-7.980000,3.290000,0.000000, 
LinearAcc,0.581477,-0.201004,9.901854, 
AngularVelocity,-10.500000,2.240000,-0.070000, 
LinearAcc,0.595834,-0.366115,9.925783, 
AngularVelocity,-4.550000,1.330000,0.140000, 
LinearAcc,0.579084,-0.203397,9.918604, 
AngularVelocity,-3.500000,1.890000,-0.070000, 
LinearAcc,0.562333,-0.354150,9.846817, 
AngularVelocity,-3.640000,1.050000,-0.140000, 
LinearAcc,0.595834,-0.382865,9.839638, 
AngularVelocity,-1.260000,0.560000,0.210000, 
LinearAcc,0.552762,-0.461831,9.830067, 
AngularVelocity,-2.660000,0.910000,0.070000, 
LinearAcc,0.598227,-0.354150,9.961677, 
AngularVelocity,-1.260000,0.630000,0.350000, 
LinearAcc,0.490546,-0.521654,9.968855, 
AngularVelocity,-1.610000,0.350000,0.210000, 
LinearAcc,0.603013,-0.382865,9.904246, 
AngularVelocity,-0.840000,1.050000,0.140000, 
LinearAcc,0.567119,-0.562333,9.904246, 
AngularVelocity,-0.980000,1.400000,-0.140000, 
LinearAcc,0.521654,-0.454653,9.887496, 
AngularVelocity,-1.190000,0.560000,-0.070000, 
LinearAcc,0.545583,-0.466617,9.846817, 
AngularVelocity,-1.330000,0.560000,-0.140000, 
