Service,X,Y,Z
LinearAcc,0.502511,-1.742037,9.770244, 
LinearAcc,0.437902,-1.835361,9.708028, 
LinearAcc,0.509689,-1.825789,9.645813, 
LinearAcc,0.423545,-1.840146,9.755886, 
LinearAcc,0.464224,-1.758787,9.727171, 
AngularVelocity,-0.840000,0.490000,0.420000, 
LinearAcc,0.406794,-1.844932,9.808530, 
AngularVelocity,-2.170000,0.840000,0.210000, 
LinearAcc,0.404401,-1.832968,9.880318, 
AngularVelocity,-1.750000,0.770000,0.700000, 
LinearAcc,0.507297,-1.641535,9.777423, 
AngularVelocity,2.870000,-0.910000,1.680000, 
LinearAcc,0.435509,-1.933470,9.904246, 
AngularVelocity,0.910000,-1.190000,1.750000, 
LinearAcc,0.483367,-1.710929,9.966462, 
AngularVelocity,0.490000,-0.840000,1.470000, 
LinearAcc,0.497725,-1.885612,9.913818, 
AngularVelocity,0.700000,-0.350000,1.330000, 
LinearAcc,0.638906,-2.139260,9.820495, 
AngularVelocity,-2.520000,0.350000,1.260000, 
LinearAcc,0.559941,-1.816217,9.782208, 
AngularVelocity,-4.900000,0.980000,0.770000, 
LinearAcc,0.545583,-1.864075,9.763065, 
AngularVelocity,-10.360000,2.450000,0.840000, 
LinearAcc,0.471403,-2.060294,9.526167, 
AngularVelocity,-11.060000,2.870000,0.350000, 
LinearAcc,0.526440,-2.151224,9.602740, 
AngularVelocity,-1.890000,1.050000,0.000000, 
LinearAcc,0.574298,-1.959792,9.638634, 
AngularVelocity,0.980000,0.420000,0.070000, 
LinearAcc,0.413973,-2.105759,9.700850, 
AngularVelocity,-1.120000,0.770000,0.140000, 
LinearAcc,0.521654,-1.969363,9.705635, 
AngularVelocity,0.280000,0.560000,0.490000, 
LinearAcc,0.435509,-2.024400,9.767851, 
AngularVelocity,-3.080000,0.980000,0.350000, 
LinearAcc,0.483367,-2.136867,9.751101, 
AngularVelocity,-2.030000,0.560000,0.490000, 
LinearAcc,0.406794,-1.945434,9.748708, 
AngularVelocity,-4.550000,1.260000,0.840000, 
LinearAcc,0.430723,-2.479053,9.715207, 
AngularVelocity,-5.950000,1.890000,0.700000, 
LinearAcc,0.471403,-2.110545,9.722385, 
AngularVelocity,-2.590000,1.400000,0.210000, 
