Service,X,Y,Z
LinearAcc,0.191433,-2.091402,9.648206,
LinearAcc,0.205790,-2.079437,9.703242,
LinearAcc,0.148360,-2.079437,9.679314,
LinearAcc,0.174682,-2.067473,9.753493,
LinearAcc,0.313471,-2.165582,9.705635,
LinearAcc,0.186647,-2.074651,9.772636,
LinearAcc,-0.021536,-2.177546,9.688885,
LinearAcc,0.107681,-2.096188,9.731957,
LinearAcc,0.157932,-2.093795,9.691278,
LinearAcc,0.162718,-2.060294,9.686492,
LinearAcc,0.189040,-2.105759,9.717600,
LinearAcc,0.177075,-2.093795,9.753493,
LinearAcc,0.174682,-2.045936,9.727171,
LinearAcc,0.157932,-2.098580,9.688885,
LinearAcc,0.145967,-2.110545,9.698457,
LinearAcc,0.189040,-2.081830,9.775029,
LinearAcc,0.141182,-2.153617,9.806137,
LinearAcc,0.160325,-2.086616,9.710421,
LinearAcc,0.179468,-2.108152,9.660170,
LinearAcc,0.236898,-2.110545,9.667349,
LinearAcc,0.179468,-2.096188,9.722385,
LinearAcc,0.165111,-2.129688,9.731957,
LinearAcc,0.141182,-2.115331,9.753493,
LinearAcc,0.160325,-2.050722,9.722385,
LinearAcc,0.148360,-2.127295,9.739136,
LinearAcc,0.153146,-2.120116,9.696064,
LinearAcc,0.201004,-2.096188,9.789387,
LinearAcc,0.196218,-2.100973,9.698457,
LinearAcc,0.055037,-2.156010,9.715207,
LinearAcc,0.026322,-2.062687,9.724778,
LinearAcc,0.167504,-1.490782,9.054764,
LinearAcc,-0.069394,-2.156010,9.753493,
LinearAcc,0.059823,-2.067473,9.652991,
LinearAcc,0.203397,-2.110545,9.684099,
LinearAcc,0.210576,-2.057901,9.662563,
LinearAcc,0.126824,-2.098580,9.731957,
LinearAcc,0.126824,-2.079437,9.775029,
LinearAcc,0.191433,-2.122509,9.703242,
LinearAcc,0.157932,-2.146439,9.679314,
LinearAcc,0.165111,-2.050722,9.729565,
LinearAcc,0.174682,-2.093795,9.729565,
LinearAcc,0.203397,-2.084223,9.763065,
LinearAcc,0.196218,-2.110545,9.743921,
LinearAcc,0.129217,-2.108152,9.719993,
LinearAcc,0.184254,-2.060294,9.772636,
LinearAcc,0.174682,-2.105759,9.669742,
LinearAcc,0.134003,-2.053115,9.655384,
LinearAcc,-0.516868,-2.153617,9.693670,
LinearAcc,0.184254,-2.069865,9.703242,
LinearAcc,0.160325,-2.471874,9.511809,
LinearAcc,0.071787,-2.134474,9.818102,
LinearAcc,0.265613,-2.017221,9.741529,
LinearAcc,0.277577,-1.919112,9.708028,
LinearAcc,0.232112,-1.966970,9.779816,
LinearAcc,0.174682,-1.974149,9.751101,
LinearAcc,0.134003,-1.976542,9.736743,
LinearAcc,0.134003,-2.163189,9.751101,
LinearAcc,0.215362,-2.002864,9.731957,
LinearAcc,0.126824,-1.957399,9.712814,
LinearAcc,0.114860,-1.899969,9.729565,
LinearAcc,0.078966,-2.110545,9.746315,
LinearAcc,0.067001,-1.856897,9.688885,
LinearAcc,0.174682,-1.969363,9.700850,
LinearAcc,0.184254,-2.053115,9.772636,
LinearAcc,0.055037,-1.971756,9.767851,
LinearAcc,0.004786,-1.976542,9.724778,
LinearAcc,0.026322,-2.057901,9.827674,
LinearAcc,0.571905,-2.500589,10.033463,
LinearAcc,-0.904519,-4.309628,10.997806,
LinearAcc,0.796838,-1.904755,13.512752,
LinearAcc,-0.650871,-2.699200,12.239725,
LinearAcc,0.703515,-2.261298,12.548410,
LinearAcc,0.653264,-2.842775,11.395028,
LinearAcc,1.019379,-1.418995,9.406522,
LinearAcc,1.313707,-1.636749,7.714736,
LinearAcc,2.486232,-0.437902,6.836538,
LinearAcc,0.971521,-0.866233,6.611605,
LinearAcc,4.209126,-0.540797,9.107409,
LinearAcc,2.232583,-1.368743,7.286405,
LinearAcc,2.723130,-0.997843,8.834617,
LinearAcc,3.558254,-0.729837,9.526167,
LinearAcc,2.347443,-1.474031,9.947319,
LinearAcc,2.720737,-0.923663,9.585990,
LinearAcc,2.885847,-0.796838,9.518989,
LinearAcc,2.390515,-1.409423,9.325163,
LinearAcc,2.854739,-0.768124,9.545310,
LinearAcc,3.161031,-0.911698,9.880318,
LinearAcc,2.809274,-0.784874,9.554882,
LinearAcc,2.629806,-0.607799,8.925548,
LinearAcc,2.572376,-1.471638,9.574025,
LinearAcc,2.510161,-1.943041,10.229682,
LinearAcc,2.316335,-1.868861,9.925783,
LinearAcc,1.093559,-3.481681,9.014085,
LinearAcc,2.754237,-2.244548,9.167231,
LinearAcc,2.481446,-2.199083,10.308648,
LinearAcc,1.653499,-2.282834,10.512045,
LinearAcc,2.325907,-0.842304,11.093522,
LinearAcc,1.584105,0.402009,9.672134,
LinearAcc,1.675036,3.493646,9.088264,
LinearAcc,3.146674,4.254591,8.949476,
LinearAcc,4.012907,2.852346,9.997570,
LinearAcc,2.237369,0.827946,9.148088,
